objectid,title,date,prompt,platform,filename,display_template,object_location,image_small,image_thumb
gen-17,librarian AI workshop,2024-01-11,first meeting of librarian faculty to discuss AI platforms workshop as oil painting by a classical painter,MS Bard Image Creator DALL·E 3,1de8c445-f75e-41b5-bcd3-36d43d5d7f83.jpeg,image,/objects/1de8c445-f75e-41b5-bcd3-36d43d5d7f83.jpeg,/objects/small/1de8c445-f75e-41b5-bcd3-36d43d5d7f83_sm.jpg,/objects/thumbs/1de8c445-f75e-41b5-bcd3-36d43d5d7f83_th.jpg
gen-18,librarian AI workshop,2024-01-11,a watercolor painting depicting the first meeting of faculty librarians to discuss AI platforms,MS Bard Image Creator DALL·E 3,34dd781c-01ea-4212-9013-98d6b91d060d.jpeg,image,/objects/34dd781c-01ea-4212-9013-98d6b91d060d.jpeg,/objects/small/34dd781c-01ea-4212-9013-98d6b91d060d_sm.jpg,/objects/thumbs/34dd781c-01ea-4212-9013-98d6b91d060d_th.jpg
gen-19,librarian AI workshop,2024-01-11,a watercolor painting depicting the first meeting of faculty librarians to discuss AI platforms,MS Bard Image Creator DALL·E 3,49be6f26-5515-4e70-9a3f-9b27dc2270af.jpeg,image,/objects/49be6f26-5515-4e70-9a3f-9b27dc2270af.jpeg,/objects/small/49be6f26-5515-4e70-9a3f-9b27dc2270af_sm.jpg,/objects/thumbs/49be6f26-5515-4e70-9a3f-9b27dc2270af_th.jpg
gen-20,librarian AI workshop,2024-01-11,first meeting of librarian faculty to discuss AI platforms workshop as oil painting by a classical painter,MS Bard Image Creator DALL·E 3,a4002191-8eff-49c1-b6bb-713bcdc5d85b.jpeg,image,/objects/a4002191-8eff-49c1-b6bb-713bcdc5d85b.jpeg,/objects/small/a4002191-8eff-49c1-b6bb-713bcdc5d85b_sm.jpg,/objects/thumbs/a4002191-8eff-49c1-b6bb-713bcdc5d85b_th.jpg
gen-21,librarian AI workshop,2024-01-11,a watercolor painting depicting the first meeting of faculty librarians to discuss AI platforms,MS Bard Image Creator DALL·E 3,bae9f254-8032-46d4-a005-9981f9e86c4e.jpeg,image,/objects/bae9f254-8032-46d4-a005-9981f9e86c4e.jpeg,/objects/small/bae9f254-8032-46d4-a005-9981f9e86c4e_sm.jpg,/objects/thumbs/bae9f254-8032-46d4-a005-9981f9e86c4e_th.jpg
gen-22,librarian AI workshop,2024-01-11,first meeting of librarian faculty to discuss AI platforms workshop as oil painting by a classical painter,MS Bard Image Creator DALL·E 3,c8f3474e-1b0c-471f-b482-29747684e4c0.jpeg,image,/objects/c8f3474e-1b0c-471f-b482-29747684e4c0.jpeg,/objects/small/c8f3474e-1b0c-471f-b482-29747684e4c0_sm.jpg,/objects/thumbs/c8f3474e-1b0c-471f-b482-29747684e4c0_th.jpg
gen-23,librarian AI workshop,2024-01-11,first meeting of librarian faculty to discuss AI platforms workshop as oil painting by a classical painter,MS Bard Image Creator DALL·E 3,d857fa5d-ace8-411d-9fdd-66a02d1badd2.jpeg,image,/objects/d857fa5d-ace8-411d-9fdd-66a02d1badd2.jpeg,/objects/small/d857fa5d-ace8-411d-9fdd-66a02d1badd2_sm.jpg,/objects/thumbs/d857fa5d-ace8-411d-9fdd-66a02d1badd2_th.jpg
gen-24,librarian AI workshop,2024-01-11,photo-realistic depiction of the first meeting of librarian faculty to discuss AI platforms workshop,MS Bard Image Creator DALL·E 3,04ee99ab-e804-4f5c-87ca-f2ceb954078d.jpeg,image,/objects/04ee99ab-e804-4f5c-87ca-f2ceb954078d.jpeg,/objects/small/04ee99ab-e804-4f5c-87ca-f2ceb954078d_sm.jpg,/objects/thumbs/04ee99ab-e804-4f5c-87ca-f2ceb954078d_th.jpg
gen-25,librarian AI workshop,2024-01-11,abstract depiction of the first meeting of university of idaho librarian faculty to discuss AI platforms workshop,MS Bard Image Creator DALL·E 3,175851ac-1d65-4a89-acc8-23748536d483.jpeg,image,/objects/175851ac-1d65-4a89-acc8-23748536d483.jpeg,/objects/small/175851ac-1d65-4a89-acc8-23748536d483_sm.jpg,/objects/thumbs/175851ac-1d65-4a89-acc8-23748536d483_th.jpg
gen-26,librarian AI workshop,2024-01-11,photo-realistic depiction of the first meeting of librarian faculty to discuss AI platforms workshop ,MS Bard Image Creator DALL·E 3,21e9fe5f-8b11-4103-9426-a8639e4498da.jpeg,image,/objects/21e9fe5f-8b11-4103-9426-a8639e4498da.jpeg,/objects/small/21e9fe5f-8b11-4103-9426-a8639e4498da_sm.jpg,/objects/thumbs/21e9fe5f-8b11-4103-9426-a8639e4498da_th.jpg
gen-27,librarian AI workshop,2024-01-11,photo-realistic depiction of the first meeting of university of idaho librarian faculty to discuss AI platforms workshop,MS Bard Image Creator DALL·E 3,3de4fa07-4ea1-4321-a223-ce5cd90836b2.jpeg,image,/objects/3de4fa07-4ea1-4321-a223-ce5cd90836b2.jpeg,/objects/small/3de4fa07-4ea1-4321-a223-ce5cd90836b2_sm.jpg,/objects/thumbs/3de4fa07-4ea1-4321-a223-ce5cd90836b2_th.jpg
gen-28,librarian AI workshop,2024-01-11,abstract depiction of the first meeting of university of idaho librarian faculty to discuss AI platforms workshop,MS Bard Image Creator DALL·E 3,4f839fb3-dbc7-45a6-9b37-e2caf9346d38.jpeg,image,/objects/4f839fb3-dbc7-45a6-9b37-e2caf9346d38.jpeg,/objects/small/4f839fb3-dbc7-45a6-9b37-e2caf9346d38_sm.jpg,/objects/thumbs/4f839fb3-dbc7-45a6-9b37-e2caf9346d38_th.jpg
gen-29,librarian AI workshop,2024-01-11,photo-realistic depiction of the first meeting of university of idaho librarian faculty to discuss AI platforms workshop,MS Bard Image Creator DALL·E 3,b97675da-7add-4f6e-8a3d-f37a47f5e77e.jpeg,image,/objects/b97675da-7add-4f6e-8a3d-f37a47f5e77e.jpeg,/objects/small/b97675da-7add-4f6e-8a3d-f37a47f5e77e_sm.jpg,/objects/thumbs/b97675da-7add-4f6e-8a3d-f37a47f5e77e_th.jpg
gen-30,librarian AI workshop,2024-01-11,photo-realistic depiction of the first meeting of librarian faculty to discuss AI platforms workshop,MS Bard Image Creator DALL·E 3,bd0902b5-9b5f-4e45-b93f-959ade0355b5.jpeg,image,/objects/bd0902b5-9b5f-4e45-b93f-959ade0355b5.jpeg,/objects/small/bd0902b5-9b5f-4e45-b93f-959ade0355b5_sm.jpg,/objects/thumbs/bd0902b5-9b5f-4e45-b93f-959ade0355b5_th.jpg
